1;17;11;29;22;21;5;21;19;1;22;18;29;22;28;6;23;24;27;11;22;20;24;30
3;26;8;16;9;9;13;23;14;7;25;4;29;21;19;1;15;7;10;9;6;28;6;30
26;28;10;28;1;16;2;12;9;17;1;5;27;0;30;25;14;3;27;6;0;21;15;15
30;18;20;14;3;10;5;4;18;16;23;15;0;29;20;8;3;11;7;16;8;13;16;26
12;29;10;3;20;17;3;8;25;5;30;24;15;3;8;24;29;12;20;28;19;20;23;18
9;14;12;14;25;19;12;21;26;6;22;23;6;28;7;28;22;20;6;20;21;4;30;9
4;2;10;22;7;18;22;19;5;1;16;24;15;7;26;5;21;23;26;24;17;13;26;24
18;0;22;3;21;25;9;7;20;6;18;16;13;3;28;30;0;6;24;28;2;17;24;2
5;3;8;26;15;4;13;9;20;6;28;7;21;1;27;14;0;14;8;13;26;26;4;22
12;29;4;13;5;25;13;25;7;14;29;23;4;11;8;13;4;14;24;2;23;22;7;4
14;25;30;6;10;4;13;12;25;16;19;7;30;18;17;6;29;21;10;4;15;5;19;4
20;23;26;5;30;23;1;15;25;29;27;22;5;24;21;1;27;13;28;23;24;15;23;16
14;12;6;23;15;10;14;6;26;1;8;6;6;3;22;28;8;20;7;18;2;13;10;28
28;14;23;9;26;8;3;3;11;29;27;18;2;18;0;10;28;5;29;18;22;23;16;29
9;15;1;27;29;7;30;18;9;27;17;30;13;17;29;8;26;30;29;17;16;18;5;3
13;28;2;5;21;30;10;9;18;29;18;29;2;15;25;29;14;28;17;20;25;22;0;24
20;19;24;8;12;20;9;28;22;6;23;28;2;30;14;9;30;4;12;9;7;0;14;23
3;8;21;15;22;12;21;14;15;11;26;19;29;28;9;26;19;13;28;1;1;17;4;30
